filename,IOU,Pixel_Accuracy,Mean_Class_IOU
real_A_epoch_100_test_0.png,0.0000,0.5995,0.0000
real_A_epoch_100_test_1.png,0.4479,0.6476,0.2287
real_A_epoch_100_test_10.png,0.1147,0.3822,0.0390
real_A_epoch_100_test_100.png,0.0000,0.2530,0.0000
real_A_epoch_100_test_101.png,0.0000,0.6989,0.0000
real_A_epoch_100_test_102.png,0.2227,0.7424,0.1136
real_A_epoch_100_test_103.png,0.0000,0.1313,0.0000
real_A_epoch_100_test_104.png,0.1856,0.5552,0.0741
real_A_epoch_100_test_105.png,0.0028,0.7010,0.0010
real_A_epoch_100_test_106.png,0.0092,0.5741,0.0037
real_A_epoch_100_test_107.png,0.2821,0.4802,0.1488
real_A_epoch_100_test_108.png,0.0595,0.8457,0.0595
real_A_epoch_100_test_109.png,0.1437,0.8614,0.0769
real_A_epoch_100_test_11.png,0.0000,0.7545,0.0000
real_A_epoch_100_test_110.png,0.0000,0.6570,0.0000
real_A_epoch_100_test_111.png,0.1246,0.6084,0.0643
real_A_epoch_100_test_112.png,0.0000,0.4559,0.0000
real_A_epoch_100_test_113.png,0.3078,0.7598,0.3078
real_A_epoch_100_test_114.png,0.1203,0.7614,0.0412
real_A_epoch_100_test_115.png,0.0001,0.5140,0.0001
real_A_epoch_100_test_116.png,0.0335,0.5324,0.0202
real_A_epoch_100_test_117.png,0.0192,0.3526,0.0192
real_A_epoch_100_test_118.png,0.1072,0.9129,0.1072
real_A_epoch_100_test_119.png,0.0918,0.6756,0.0475
real_A_epoch_100_test_12.png,0.0000,0.7628,0.0000
real_A_epoch_100_test_120.png,0.0000,0.9112,0.0000
real_A_epoch_100_test_121.png,0.0000,0.8402,0.0000
real_A_epoch_100_test_122.png,0.0000,0.9083,0.0000
real_A_epoch_100_test_123.png,0.0813,0.6182,0.0407
real_A_epoch_100_test_124.png,0.0000,0.8631,0.0000
real_A_epoch_100_test_125.png,0.0545,0.5004,0.0367
real_A_epoch_100_test_126.png,0.1144,0.4005,0.0586
real_A_epoch_100_test_127.png,0.0000,0.9408,0.0000
real_A_epoch_100_test_128.png,0.1770,0.6752,0.1770
real_A_epoch_100_test_129.png,0.2355,0.6312,0.1181
real_A_epoch_100_test_13.png,0.0240,0.4628,0.0163
real_A_epoch_100_test_130.png,0.1879,0.6755,0.1056
real_A_epoch_100_test_131.png,0.3137,0.5544,0.3137
real_A_epoch_100_test_132.png,0.0195,0.8667,0.0081
real_A_epoch_100_test_133.png,0.0992,0.5718,0.0992
real_A_epoch_100_test_134.png,0.0667,0.4952,0.0377
real_A_epoch_100_test_135.png,0.1204,0.6901,0.0403
real_A_epoch_100_test_136.png,0.3204,0.7093,0.1615
real_A_epoch_100_test_137.png,0.2868,0.5860,0.2868
real_A_epoch_100_test_138.png,0.0000,0.6782,0.0000
real_A_epoch_100_test_139.png,0.0111,0.7502,0.0181
real_A_epoch_100_test_14.png,0.0429,0.9503,0.0216
